Fecha;Hora;Latitud;Longitud;Medicion;Fuerza [KG];Distancia [CM];Distancia total;Fuerza Promedio;Fuerza Maxima;Distancia Fuerza Maxima;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ; ; ;00;32.63;48.00;00;
20/03/2025;19:34:07;-26835165;-60853024;0143; ; ; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;   4;0000; ; ; ; ;
;; ; ; ; ; ;00;21.98;36.00;00;
20/03/2025;19:36:04;0;0;0144; ; ; ; ; ; ;
;; ; ; ; ; ;00;0.00;0.00;00;
20/03/2025;19:36:14;0;0;0145; ; ; ; ; ; ;
;; ; ; ;   9;0053; ; ; ; ;
;; ; ; ;   8;0053; ; ; ; ;
;; ; ; ;  11;0053; ; ; ; ;
;; ; ; ;  10;0053; ; ; ; ;
;; ; ; ;   6;0053; ; ; ; ;
;; ; ; ;   6;0053; ; ; ; ;
;; ; ; ; ; ;53;8.33;11.00;53;
20/03/2025;19:36:27;0;0;0146; ; ; ; ; ; ;
;; ; ; ;   7;0053; ; ; ; ;
;; ; ; ;   8;0053; ; ; ; ;
;; ; ; ;  12;0053; ; ; ; ;
;; ; ; ;  15;0053; ; ; ; ;
;; ; ; ;  18;0053; ; ; ; ;
;; ; ; ;  19;0053; ; ; ; ;
;; ; ; ;  22;0053; ; ; ; ;
;; ; ; ;  27;0053; ; ; ; ;
;; ; ; ;  31;0053; ; ; ; ;
;; ; ; ;  31;0053; ; ; ; ;
;; ; ; ;  30;0053; ; ; ; ;
;; ; ; ;  29;0053; ; ; ; ;
;; ; ; ;  29;0053; ; ; ; ;
;; ; ; ;  25;0053; ; ; ; ;
;; ; ; ;  18;0053; ; ; ; ;
;; ; ; ; ; ;53;21.40;31.00;53;
20/03/2025;19:36:58;0;0;0147; ; ; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  14;0053; ; ; ; ;
;; ; ; ;  15;0053; ; ; ; ;
;; ; ; ;  16;0053; ; ; ; ;
;; ; ; ;  18;0053; ; ; ; ;
;; ; ; ;  18;0053; ; ; ; ;
;; ; ; ;  19;0053; ; ; ; ;
;; ; ; ;  21;0053; ; ; ; ;
;; ; ; ;  23;0053; ; ; ; ;
;; ; ; ;  25;0053; ; ; ; ;
;; ; ; ;  26;0053; ; ; ; ;
;; ; ; ;  29;0053; ; ; ; ;
;; ; ; ;  31;0053; ; ; ; ;
;; ; ; ;  32;0053; ; ; ; ;
;; ; ; ;  33;0053; ; ; ; ;
;; ; ; ;  22;0053; ; ; ; ;
;; ; ; ;  25;0053; ; ; ; ;
;; ; ; ;  27;0053; ; ; ; ;
;; ; ; ;  25;0053; ; ; ; ;
;; ; ; ;  28;0053; ; ; ; ;
;; ; ; ;  30;0053; ; ; ; ;
;; ; ; ;  32;0053; ; ; ; ;
;; ; ; ;  36;0053; ; ; ; ;
;; ; ; ;  33;0053; ; ; ; ;
;; ; ; ; ; ;53;24.42;36.00;53;
20/03/2025;19:42:00;0;0;0148; ; ; ; ; ; ;
;; ; ; ;  10;0002; ; ; ; ;
;; ; ; ;  13;0002; ; ; ; ;
;; ; ; ;  15;0002; ; ; ; ;
;; ; ; ;  19;0049; ; ; ; ;
;; ; ; ;  24;0049; ; ; ; ;
;; ; ; ;  27;0049; ; ; ; ;
;; ; ; ;  29;0049; ; ; ; ;
;; ; ; ;  27;0049; ; ; ; ;
;; ; ; ;  25;0049; ; ; ; ;
;; ; ; ;  25;0049; ; ; ; ;
;; ; ; ;  26;0049; ; ; ; ;
;; ; ; ;  26;0049; ; ; ; ;
;; ; ; ;  25;0049; ; ; ; ;
;; ; ; ;  24;0049; ; ; ; ;
;; ; ; ;  21;0049; ; ; ; ;
;; ; ; ;  18;0049; ; ; ; ;
;; ; ; ;  20;0049; ; ; ; ;
;; ; ; ;   2;0049; ; ; ; ;
;; ; ; ; ; ;49;20.89;29.00;49;
20/03/2025;19:43:09;-26835194;-60853033;0149; ; ; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ;  13;0049; ; ; ; ;
;; ; ; ;  15;0049; ; ; ; ;
;; ; ; ;  16;0049; ; ; ; ;
;; ; ; ;  17;0049; ; ; ; ;
;; ; ; ;  20;0049; ; ; ; ;
;; ; ; ;  24;0049; ; ; ; ;
;; ; ; ;  21;0049; ; ; ; ;
;; ; ; ;  17;0049; ; ; ; ;
;; ; ; ;  10;0049; ; ; ; ;
;; ; ; ; ; ;49;16.40;24.00;49;
20/03/2025;19:43:22;-26835194;-60853033;0150; ; ; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  18;0049; ; ; ; ;
;; ; ; ;  25;0049; ; ; ; ;
;; ; ; ;  25;0049; ; ; ; ;
;; ; ; ;  26;0049; ; ; ; ;
;; ; ; ;  29;0049; ; ; ; ;
;; ; ; ;  29;0049; ; ; ; ;
;; ; ; ;  31;0049; ; ; ; ;
;; ; ; ;  35;0049; ; ; ; ;
;; ; ; ;  35;0049; ; ; ; ;
;; ; ; ;  39;0049; ; ; ; ;
;; ; ; ;  39;0049; ; ; ; ;
;; ; ; ;  40;0049; ; ; ; ;
;; ; ; ;  43;0049; ; ; ; ;
;; ; ; ;  44;0049; ; ; ; ;
;; ; ; ;  43;0049; ; ; ; ;
;; ; ; ;  46;0049; ; ; ; ;
;; ; ; ;  45;0049; ; ; ; ;
;; ; ; ;  41;0049; ; ; ; ;
;; ; ; ;  38;0049; ; ; ; ;
;; ; ; ;  31;0049; ; ; ; ;
;; ; ; ;  30;0049; ; ; ; ;
;; ; ; ;  31;0049; ; ; ; ;
;; ; ; ;  36;0049; ; ; ; ;
;; ; ; ;  39;0049; ; ; ; ;
;; ; ; ;  43;0049; ; ; ; ;
;; ; ; ;  46;0049; ; ; ; ;
;; ; ; ;   7;0049; ; ; ; ;
;; ; ; ; ; ;49;33.71;46.00;49;
